X Y
77.5282 71.4287
81.7347 68.6697
9.666 23.4858
10.983 17.6711
6.6388 20.2416
82.1145 66.4307
12.0609 20.5272
80.4391 66.7694
11.5277 19.6336
78.7801 72.9409
81.2195 68.6964
74.6935 68.4776
77.6521 69.6121
8.8537 24.6816
83.537 71.3211
80.7507 72.2647
81.8761 67.4636
78.9577 68.6326
8.0263 18.8897
80.134 71.764
11.5664 17.3031
81.5599 67.118
80.5835 68.6525
8.8247 20.6874
79.2887 68.5275
83.4094 72.5936
11.1057 19.1852
82.6026 70.8284
79.9976 73.864
12.0681 18.5741
9.6629 19.017
82.5353 69.8138
10.0846 18.6533
9.4332 17.9377
12.5062 19.5917
80.66 69.6531
81.0664 67.2975
6.7529 18.5723
9.3621 19.9277
80.6465 67.7047
10.0671 20.5065
9.5426 23.6057
9.4726 14.8376
81.692 70.0818
8.5234 17.9707
11.2958 20.1941
13.8032 19.9829
81.483 67.2929
10.5869 18.5377
8.9588 18.8304
80.7103 66.6132
73.6748 72.2202
79.7015 70.5232
11.2399 18.7812
14.294 22.7756
10.1041 18.9567
81.7066 72.1379
79.2142 70.4655
10.3565 19.3177
10.404 18.6206
10.9189 19.6311
80.0305 69.0173
6.2972 19.8198
9.7118 19.6542
11.4834 19.8149
10.0208 16.5709
83.9539 70.0705
78.318 69.635
81.7885 68.1916
12.6353 18.0138
11.1117 18.9001
8.778 20.6408
78.614 72.822
11.1406 20.1469
9.9068 23.1402
83.5027 68.1075
13.2538 20.8405
9.8493 17.0231
5.6685 20.3127
9.8275 19.4122
80.7783 72.6189
79.0567 72.0338
78.6328 71.05
7.1541 18.9358
78.4006 70.8815
79.9917 70.3619
80.9573 71.5023
82.2307 68.487
78.5235 70.6958
77.9733 72.2033
9.6461 17.9763
75.8645 70.1327
10.3563 20.9443
8.5212 22.6978
77.5281 67.3095
83.5777 71.7409
8.01 21.0364
9.7495 20.1224
79.7864 69.5406
11.7468 19.5187
78.2353 71.8665
77.301 73.9171
79.098 64.481
9.8578 19.7936
9.4998 24.6715
11.2407 20.6152
9.1444 22.7236
12.299 20.5446
79.8729 67.5592
81.8334 71.4985
12.6024 23.8063
6.4566 20.2046
10.3622 18.6161
75.9333 68.8965
11.0636 17.0929
11.5832 19.6658
80.6304 70.3112
8.7093 19.4514
11.2879 16.2177
81.2726 68.2022
79.6495 70.4726
9.8029 19.2984
78.5127 71.5732
83.1932 75.2109
12.8962 19.9117
81.813 71.8342
83.6028 69.2248
7.1458 20.5352
6.904 19.2371
77.6454 72.4447
75.4564 70.0707
77.3894 68.8802
76.6611 68.8141
80.9762 68.352
13.4914 16.6382
9.0601 20.9987
83.2581 68.5584
13.4337 20.0765
10.0955 19.4102
80.3481 69.2988
78.7792 69.3495
79.8836 69.1974
82.5346 67.8894
9.6078 17.0339
83.1105 68.7447
10.5535 21.2823
7.764 21.1368
81.68 67.0044
79.8236 69.5699
79.1952 72.3349
80.5661 70.3346
79.6595 69.7618
77.8411 69.5803
81.048 71.623
79.5214 66.6359
12.472 20.3026
80.1041 69.478
78.496 72.1962
77.918 67.1359
11.3285 17.5619
9.499 20.5739
10.6596 17.2774
80.576 76.4288
8.943 19.7275
77.4688 72.4783
80.8817 71.04
9.5144 18.4667
79.9381 67.7262
16.6605 19.9353
77.9563 70.137
13.608 20.2133
76.2451 71.7402
8.5051 20.0528
79.574 69.0888
6.696 19.2426
82.7631 72.0379
8.2136 19.5583
80.0024 70.9815
80.4921 69.8453
9.9542 18.208
81.1701 71.4405
5.7579 20.7215
8.5723 20.7436
11.0114 21.6716
78.1952 71.6553
80.0269 68.6977
8.4351 19.6591
10.0055 24.532
10.886 18.1804
79.2672 68.5845
81.1517 67.2531
81.0372 67.9545
7.5258 17.1727
10.3478 18.8309
79.662 70.3384
77.6594 69.7828
10.573 24.3056
77.1754 68.5014
12.0881 22.1204
79.3325 68.4577
10.8998 23.044
81.173 71.3654
4.82 21.0053
11.1347 16.1945
77.7415 70.9037
77.8622 70.8526
8.834 17.1251
77.9908 70.2669
9.1625 19.7147
84.8236 69.3915
12.5807 19.486
10.0196 23.8844
12.4804 20.9313
10.2374 21.0388
11.3903 16.9679
80.6183 71.8716
80.334 67.6892
11.65 21.3064
12.3915 18.9743
10.701 19.0183
9.7774 21.404
80.4401 66.8351
9.9567 17.8667
82.2342 69.1993
7.533 16.048
78.5268 69.5917
78.5364 70.155
79.612 70.5141
7.394 19.2227
79.9437 68.8426
78.6495 68.3895
81.3208 68.2484
12.7314 17.3935
8.5094 21.0459
11.6947 17.9956
8.7037 20.493
10.2604 20.5951
79.4778 71.5154
16.3299 18.2605
8.5097 15.9406
9.3407 16.6891
7.8844 20.4119
6.5933 17.8326
79.4766 70.8396
79.8346 71.5006
84.4946 71.2116
75.6898 71.4333
79.0401 71.5229
11.1616 24.6428
12.8281 20.4863
77.5134 68.8821
12.4619 19.707
83.0554 67.6277
80.1293 70.7111
3.6909 16.1644
12.9203 19.7816
77.9359 71.8394
7.6172 21.1233
13.419 21.0164
78.6614 72.6251
78.7028 66.9605
78.2671 67.3169
77.5477 72.6475
79.4764 67.9871
81.1496 67.493
80.3455 68.9645
10.7532 20.4964
8.9758 17.3836
81.9652 70.899
83.093 71.4226
8.8793 18.8544
12.9008 17.2527
82.0867 65.7348
10.5227 20.3359
11.9812 21.1827
81.7681 68.1139
10.3639 23.1124
80.0564 71.1121
10.0494 22.8494
10.7811 15.9217
9.7448 17.0053
76.4867 68.955
8.1338 19.3772
80.371 71.3448
13.2272 20.5067
11.821 18.1261
11.3457 17.7554
10.7509 18.9794
78.3916 70.4381
80.965 67.6397
5.9843 22.3768
78.3467 67.964
11.9884 20.9748
77.907 71.6885
79.9363 69.2856
11.0938 19.363
8.5747 20.7618
5.9583 17.2365
80.9727 68.6816
77.7163 72.5078
79.8869 68.3172
7.5196 18.3135
78.7032 72.432
76.226 69.1142
9.6186 22.6985
77.8064 69.7025
12.747 17.1534
80.0944 66.623
11.1805 20.7813
77.8599 71.6544
8.7267 18.4313
10.3909 20.7108
9.9616 21.5353
80.1598 71.0763
81.0462 69.8368
8.3614 17.8023
11.2328 19.768
10.1377 18.0522
79.5664 69.2734
81.6713 69.9232
9.2069 22.3922
78.9747 71.5646
12.7599 22.056
8.7393 18.1522
8.2598 15.8073
77.5471 70.9565
10.361 21.3289
79.6508 67.5751
8.3314 20.4867
9.8595 21.4986
80.8158 70.3586
6.862 19.2091
12.7408 21.6352
7.9858 20.5851
9.6549 21.6486
81.3618 69.7107
12.1015 18.8766
78.0896 67.5905
11.704 19.8931
81.4474 71.6556
78.8679 73.5
81.812 66.8625
10.2544 24.4107
78.4202 67.1055
79.5196 67.1157
9.2564 18.6002
9.5494 23.8815
7.0094 18.907
79.0494 64.8296
10.2288 21.6373
12.1818 15.3101
82.6267 69.6665
78.1792 67.8919
8.3461 20.4213
8.4288 19.3453
82.393 71.3311
82.2727 72.7081
8.8645 20.8315
10.4595 18.784
9.3335 21.3643
79.8443 70.4041
80.4346 67.4469
11.5369 22.8437
7.102 21.6165
9.896 16.8756
81.2626 71.0604
80.9688 70.9255
10.1134 17.1996
11.8068 20.7621
81.5397 68.9666
10.2475 17.2804
7.8333 19.6906
6.3174 17.835
80.4796 70.9508
75.5301 71.8524
80.8031 71.055
78.2463 72.6358
80.8288 73.0131
82.8249 69.5048
85.4555 68.118
82.2307 70.7756
7.6998 16.8408
77.0577 75.758
12.0739 21.2229
78.7695 69.9648
8.1198 18.5185
9.5562 24.6323
9.9871 19.0136
10.4942 21.3493
9.3875 19.7996
10.1426 22.0026
7.7655 20.9157
78.4197 70.388
80.7522 69.585
5.2483 21.4219
79.6064 66.048
7.0583 14.8369
80.9913 68.5516
9.1815 20.0319
10.0477 16.2232
80.3007 70.5832
79.6967 69.471
80.5402 67.1934
78.7235 68.1403
80.377 70.9488
10.355 20.2866
12.322 19.7188
77.6517 72.7212
79.9999 72.8635
79.3013 68.9648
8.8583 22.7831
11.3838 21.7411
81.9616 66.0806
8.9767 20.2126
77.2639 71.37
8.4465 22.5847
82.5788 73.437
10.3639 20.7013
79.8816 70.187
9.8105 20.9009
11.1802 21.8084
9.2542 21.9087
10.3615 23.0564
9.9882 20.8267
78.061 73.215
9.5661 20.2318
11.034 20.9833
17.5041 17.6027
77.9333 68.7089
11.1604 19.0436
11.5744 18.2906
81.5926 69.3462
81.9657 69.3059
81.6977 67.8196
80.7045 67.1998
8.746 18.5653
12.1883 20.0368
79.862 71.254
78.7846 69.9803
80.5067 68.2518
83.7453 68.7975
8.1684 21.752
11.3504 22.3776
12.8527 19.8119
78.5769 72.2941
80.931 66.9226
79.7464 68.6316
77.0054 66.8806
76.6199 69.4495
78.7572 67.6585
9.6166 24.0405
75.6696 70.0891
78.0132 67.2242
8.6872 19.364
7.6447 24.7492
6.5469 20.5988
77.1653 67.1823
7.9724 21.5928
8.0083 19.4539
80.2621 71.0546
82.0117 72.3945
77.2159 67.4466
8.3773 22.6089
79.1017 70.6459
9.2003 20.8567
8.1125 23.524
7.3773 16.5007
80.1314 68.4091
78.4702 69.1877
10.4245 21.728
8.6512 23.0547
76.7573 68.3708
80.6867 70.9838
80.5609 69.7997
10.0938 21.0064
77.079 71.844
14.4819 19.1157
8.5994 22.2668
11.3398 17.7212
79.0926 67.8628
78.2866 69.7234
80.8805 71.7469
14.8544 20.31
82.471 70.2167
14.0115 23.1334
5.4889 16.1873
10.4927 22.6222
81.7455 68.7096
79.8054 70.0651
6.0861 19.9299
12.448 18.2497
7.7668 19.4539
83.5414 71.8532
81.1762 72.0812
13.6063 15.8889
79.5789 70.5998
5.7899 24.0049
75.658 69.1476
74.014 69.4196
79.4762 66.3397
79.3239 67.7434
9.8411 20.1485
8.9602 21.4704
78.7283 71.5635
82.577 71.4182
13.1861 20.2302
81.977 69.6879
77.8792 65.536
82.9026 69.5952
80.613 69.0495
83.3814 67.7434
76.4317 69.5657
80.1084 68.9455
7.5596 18.5499
