X Y
11.7603 63.0285
4.7001 58.8174
-45.298 -32.7504
47.2086 -21.1501
41.6016 -23.1546
9.4431 60.6687
-49.0049 -22.4989
35.8409 -29.9396
-51.9943 -31.1044
10.5657 58.2267
8.5102 59.0402
-49.8165 -30.6945
40.7548 -25.6946
9.4872 55.5323
10.1602 57.9978
-54.63 -26.9328
40.1635 -17.7394
-50.9508 -29.2925
-52.0273 -29.036
-51.483 -28.0731
45.1902 -24.4361
-48.6708 -33.649
36.2378 -21.9181
-50.6141 -31.144
8.914 59.2622
9.074 57.0974
33.4335 -15.9758
38.3221 -20.6404
44.3375 -18.8179
3.8801 58.5745
11.1209 56.6797
34.679 -18.3102
-46.6166 -37.1252
12.6407 63.2632
-48.5713 -30.5845
35.6159 -13.707
45.181 -21.5206
38.5256 -21.637
10.682 58.8643
13.088 59.1662
37.7433 -18.2711
39.2843 -20.4554
38.7328 -20.7503
36.3321 -13.948
-49.0977 -26.2017
41.4094 -20.8686
13.5804 61.1573
-51.3975 -29.2027
38.6142 -13.8452
-52.8151 -27.1811
9.409 59.1592
-50.9315 -31.1454
7.9875 57.4813
7.4612 61.3543
42.1793 -17.2481
-51.1204 -31.9997
5.8369 59.1701
-53.021 -33.353
-48.8316 -32.2036
-55.7991 -26.001
5.8089 62.2077
-48.3478 -37.3708
-50.6762 -36.2529
40.7604 -18.2666
13.3873 59.5522
9.9702 62.8156
8.8287 57.4258
13.0348 64.8598
-50.6364 -29.7711
38.5403 -18.208
9.3752 61.4186
42.9714 -14.021
37.7907 -22.6445
38.269 -19.8138
7.2591 57.4912
10.6212 56.4685
38.533 -15.4208
-53.058 -32.5646
7.2973 61.3033
42.1968 -15.9798
-49.3246 -22.6622
-50.9941 -34.9146
40.4553 -17.5587
5.2617 62.1259
47.864 -18.5344
-46.8298 -30.9185
37.9946 -25.0802
12.0722 63.6495
-49.8547 -23.1027
11.3491 57.5507
10.7715 61.6689
-42.7423 -36.1184
8.4996 62.9106
43.9396 -20.0398
6.0205 60.1861
40.7587 -26.6686
36.6215 -17.9679
-50.1372 -25.3125
15.3964 59.5399
-51.3507 -29.6571
-45.7137 -31.2153
-48.9787 -30.5518
41.4477 -14.3705
42.5872 -16.9027
12.278 60.4064
42.9592 -15.7854
-51.594 -31.2032
40.3564 -25.3241
37.025 -22.6899
36.0446 -24.4737
13.5137 65.3269
39.8584 -24.1208
11.3768 57.6158
7.9385 60.5863
-50.3776 -34.8877
-47.3602 -30.5109
-51.0583 -31.1744
14.4858 59.0667
39.4311 -16.8509
7.9111 57.023
12.1284 56.1396
10.7 57.4452
-43.9217 -33.2694
-50.5936 -21.2833
-46.3185 -29.3701
-51.0045 -26.4662
9.2339 59.731
-50.9027 -32.3658
-48.476 -29.3627
12.0383 61.5428
8.5034 59.2613
40.7324 -16.3078
39.8284 -21.6491
10.9884 57.4795
13.6791 64.8895
8.5107 59.019
3.9599 57.2916
-52.1116 -32.3399
38.8932 -16.4891
11.8847 58.91
-49.2667 -31.24
38.675 -17.151
9.6805 57.8834
6.8359 56.609
10.6122 60.3121
38.4108 -24.1173
-45.3033 -28.2699
36.5932 -19.2325
-39.8639 -30.889
6.8487 57.4569
3.52 62.3848
9.9204 62.2908
-45.1803 -29.5088
9.5039 52.1384
9.0111 62.1318
39.1685 -19.8477
35.9461 -25.9056
38.221 -23.0024
-49.5173 -25.8137
-49.0072 -31.2895
-55.0289 -32.8005
-49.443 -26.509
33.7194 -19.1853
41.5593 -23.318
18.1204 59.7495
-48.5049 -28.1059
-51.173 -26.2717
40.7109 -16.7017
35.5112 -16.3867
-48.5587 -30.0481
-51.7018 -26.3131
16.6599 57.3181
38.5549 -20.2411
31.8529 -16.6809
39.7281 -18.0769
12.5481 56.2579
-50.3951 -30.4553
-55.5501 -25.4714
-51.5705 -27.0881
12.3894 56.2999
10.5295 55.8575
-46.7866 -25.5745
39.2454 -21.6007
-47.9921 -31.0361
35.6899 -22.6703
39.0805 -16.1649
-50.0034 -30.115
-51.0632 -24.8903
37.5137 -22.7804
36.7876 -19.9626
9.5981 58.7255
-51.3469 -25.8167
-48.8034 -26.5162
41.2519 -19.1634
10.432 60.7636
-50.0076 -29.7545
42.7199 -20.5282
14.1607 59.265
39.0064 -18.7997
9.2997 58.5856
-50.1079 -23.7294
-46.7563 -28.3547
-52.6153 -30.8496
-51.6324 -25.6388
3.3254 57.7422
12.6652 55.7998
-48.695 -32.968
9.5445 55.336
44.6085 -16.1959
36.46 -21.4444
-47.1334 -30.5262
11.9648 60.3819
-47.5677 -37.2875
11.5651 61.761
-44.9727 -27.633
8.7396 54.055
-50.0245 -28.7505
11.7017 61.0521
39.6193 -22.3156
-48.4388 -31.8056
-45.1625 -30.4863
42.0719 -23.6982
-54.6769 -31.4679
-51.7032 -33.4504
15.2485 64.1423
41.8331 -21.2801
14.9111 58.2149
8.4109 63.8221
43.6056 -17.3014
-47.3631 -35.171
-47.5808 -23.2163
10.1923 57.1486
37.9215 -21.2042
13.2517 58.0703
14.0692 60.3469
6.8458 59.3531
8.6592 60.5061
14.7316 59.4478
-49.5729 -32.8067
39.2046 -21.7482
37.2239 -22.3865
43.3446 -20.4451
-44.8906 -28.4791
36.8051 -18.0205
-49.0552 -29.755
42.0797 -18.1791
8.5267 54.5821
32.6496 -17.2738
8.976 56.604
37.6134 -15.4595
-53.2087 -29.4003
11.3065 61.8614
8.8568 56.4768
40.1589 -19.804
12.8135 60.6858
14.5115 61.5871
13.175 65.267
36.3714 -16.5709
37.8627 -21.5271
14.4075 63.0229
4.9104 63.9141
37.7988 -18.3128
14.8616 57.5341
39.7077 -23.1861
-47.0819 -32.6976
16.8725 60.2762
-54.4369 -28.8583
42.4646 -24.0266
-45.9878 -30.2881
10.6542 64.4537
40.2062 -16.7827
14.2123 56.5369
12.4976 64.8444
39.021 -22.3632
12.4823 65.4383
-48.3965 -32.2856
7.335 59.3556
9.9933 57.9
41.0227 -22.3721
37.3138 -23.5034
13.5403 62.5083
39.2016 -20.8909
-48.819 -33.9369
41.0945 -17.6191
41.9416 -23.4926
-50.6198 -32.0499
39.0756 -20.2085
38.4359 -23.9443
-48.6009 -28.3153
-50.2606 -29.7356
-49.8976 -32.3545
40.8362 -19.9847
38.6078 -18.642
-43.7302 -27.3054
-49.1367 -35.8767
-57.6228 -27.2457
10.2964 52.0558
40.7948 -19.7082
-47.1976 -26.758
-53.2418 -29.5303
8.1069 61.5073
38.9397 -22.0777
1.8105 58.5978
42.3012 -17.5907
-50.1958 -23.3689
46.9462 -20.4576
-52.0836 -32.5222
40.9307 -16.6679
11.2104 58.7113
17.5836 58.4549
-50.4062 -27.8018
11.3321 63.7397
40.4102 -17.5263
-47.7488 -31.8435
36.5592 -21.2931
9.2637 63.1601
39.2868 -23.5557
36.2482 -19.8436
5.8562 55.1507
45.7339 -22.9062
39.9813 -17.6851
-50.3298 -30.5351
-50.7324 -30.7892
8.2201 63.8487
-47.3995 -32.0926
8.3095 62.5407
-1.4803 61.5026
-52.2095 -21.18
11.8953 58.1202
-48.4156 -32.9027
-52.361 -32.7483
17.3427 59.5954
42.6395 -20.9869
15.5155 59.9246
38.4029 -19.9469
-52.2541 -33.1377
9.3136 62.0775
7.4779 57.7944
38.3402 -22.0873
-45.7854 -23.9928
-56.6463 -28.3752
12.4313 62.639
41.0159 -22.1598
-44.872 -30.0171
39.6732 -22.5925
-50.7724 -24.4348
-50.7515 -33.0355
-46.3551 -31.0922
38.9641 -15.5574
13.5969 61.1633
40.2713 -22.8463
4.6916 56.1138
-52.5416 -30.773
39.4185 -15.8965
36.4354 -21.0826
10.8314 61.8114
41.1252 -18.2498
-56.409 -28.4929
10.7956 56.4609
41.4401 -19.7438
-55.0598 -29.0889
